id	time	stream	text	tu	rel	ant	context
1	0	DM->RN	"calibrate"	1	0	translation-r-direct	None
2	0	DM->CMD	"calibrating. . ."	1	0	ack-doing	None
3	17.69	RN	"done"	1	1	ack-done	None
4	19.67	DM->CMD	"calibration complete"	1	3	translation-l	None
5	21.16	DM->CMD	"Hello! <beep>"	2	None	None	None
6	22.23	DM->CMD	". . ."	2	5	link-next	None
7	23.49	DM->CMD	"Thanks for teaming up with me today."	2	5	continue	None
8	24.61	DM->CMD	". . ."	2	7	link-next	None
9	27.82	DM->CMD	"Please be aware that there may be lag times in receiving and processing your requests."	2	7	continue	None
10	28.7	DM->CMD	". . ."	2	9	link-next	None
11	31.12	DM->CMD	"I'll give you feedback on what I'm doing, let you know if there is a problem, and I may ask for more information."	2	9	continue	None
12	32.25	DM->CMD	". . ."	2	11	link-next	None
13	35.27	DM->CMD	"You can ask for help at any time."	2	11	continue	None
14	66.22	CMD	"robot take a picture"	3	None	None	None
15	70.7	DM->RN	"send image"	3	14	translation-r-direct	None
16	72.38	RN	"sent"	3	15	ack-done	None
17	73.99	DM->CMD	"sent"	3	16	translation-l	None
18	122.06	CMD	"<pause> robot go forward"	4	None	None	None
19	129.18	DM->CMD	"I'm not sure where or when to stop moving forward.  <beep>"	4	18	missing-info	None
20	130.58	DM->CMD	"You can tell me to move a certain distance or to move to an object.  <beep>"	4	19	continue	None
21	142.16	CMD	"robot move forward one feet"	5	None	None	None
22	146.54	DM->CMD	"ok"	5	21	ack-wilco	None
23	150.59	DM->RN	"move forward 1 foot"	5	21	translation-r-direct	None
24	151.55	DM->CMD	"I will move forward 1 foot"	5	21	ack-wilco	None
25	153.87	DM->CMD	"moving. . ."	5	21	ack-doing	None
26	155.7	RN	"done"	5	23	ack-done	None
27	156.87	DM->CMD	"done"	5	26	translation-l	None
28	159.799999999999	CMD	"robot move forward <pause> two feet"	6	None	None	None
29	164.16	DM->CMD	"ok"	6	28	ack-wilco	None
30	166.86	DM->RN	"move forward 2 feet"	6	28	translation-r-direct	None
31	169.86	DM->CMD	"moving. . ."	6	28	ack-doing	None
32	173.79	RN	"done"	6	30	ack-done	None
33	175.62	DM->CMD	"done"	6	32	translation-l	None
34	180.95	CMD	"robot take a picture"	7	None	None	None
35	184.44	DM->RN	"send image"	7	34	translation-r-direct	None
36	185.75	RN	"sent"	7	35	ack-done	None
37	187.05	DM->CMD	"sent"	7	36	translation-l	None
38	190.25	CMD	"<pause> robot turn left"	8	None	None	None
39	198.7	DM->CMD	"I'm not sure where or when to stop turning.  <beep>"	8	38	missing-info	None
40	199.88	DM->CMD	"You can tell me to turn a number of degrees or to face something.  <beep>"	8	39	continue	None
41	209.96	CMD	"robot turn left ninety degrees"	9	None	None	None
42	214	DM->CMD	"ok"	9	41	ack-wilco	None
43	217.65	DM->RN	"turn left 90 degrees"	9	41	translation-r-direct	None
44	218.74	DM->CMD	"I will turn left 90 degrees"	9	41	ack-wilco	None
45	221.07	DM->CMD	"turning. . ."	9	41	ack-doing	None
46	229.38	RN	"done"	9	43	ack-done	None
47	230.049999999999	CMD	"robot take a picture"	10	None	None	None
48	230.73	DM->CMD	"done"	9	46	translation-l	None
49	233.22	DM->RN	"send image"	10	47	translation-r-direct	None
50	234.3	RN	"sent"	10	49	ack-done	None
51	235.55	DM->CMD	"sent"	10	50	translation-l	None
52	241.25	CMD	"<pause> robot turn right ninety degrees"	11	None	None	None
53	245.83	DM->CMD	"ok"	11	52	ack-wilco	None
54	249	DM->RN	"turn right 90 degrees"	11	52	translation-r-direct	None
55	256.21	DM->CMD	"turning. . ."	11	52	ack-doing	None
56	259.87	RN	"done"	11	54	ack-done	None
57	261.86	DM->CMD	"I turned right 90 degrees"	11	56	translation-l	None
58	265.11	CMD	"robot turn right eighteen degrees"	12	None	None	None
