id	time	stream	text	tu	rel	ant	context
1	2018-09-10 11:01:13.76	DM->CMD	"calibrating. . ."	1	0	ack-doing	None
2	2018-09-10 11:01:16.13	DM->RN	"calibrate"	1	0	translation-r-direct	None
3	2018-09-10 11:01:33.41	CMD	"<X: xxx>"	X-CMD	None	None	None
4	2018-09-10 11:01:35.68	CMD	"<no speech>"	X-CMD	None	None	None
5	2018-09-10 11:01:42.15	RN	"<X: audio sync in three two one>"	X-CMD	None	None	None
6	2018-09-10 11:01:42.18	CMD	"<X: audio sync in three two one>"	X-CMD	None	None	None
7	2018-09-10 11:01:46.34	RN	"<loud noise>"	X-CMD	None	None	None
8	2018-09-10 11:01:46.34	CMD	"<loud noise>"	X-CMD	None	None	None
9	2018-09-10 11:01:48.97	CMD	"<X: okay you can let it up>"	X-CMD	None	None	None
10	2018-09-10 11:01:53.60	DM->CMD	"calibration complete"	1	0	ack-done	None
11	2018-09-10 11:01:57.64	CMD	"i am ready"	2	None	None	None
12	2018-09-10 11:02:01.59	DM->RN	"participant is ready"	2	11	translation-r-direct	None
13	2018-09-10 11:02:04.40	DM->CMD	"I'm also ready.  <beep>"	2	11	reciprocal	None
14	2018-09-10 11:02:07.22	CMD	"turn forty five degrees to your left"	3	None	None	None
15	2018-09-10 11:02:09.96	CMD	"and take a photo"	3	14	continue	None
16	2018-09-10 11:02:13.99	DM->CMD	"processing. . ."	3	15*	processing	None
17	2018-09-10 11:02:18.16	DM->RN	"turn left 45 degrees"	3	14	translation-r-direct	None
18	2018-09-10 11:02:19.72	DM->RN	"then. . ."	3	17	link-next	None
19	2018-09-10 11:02:20.99	DM->RN	"send image"	3	15	translation-r-direct	None
20	2018-09-10 11:02:23.57	DM->CMD	"turning. . ."	3	14	ack-doing	None
21	2018-09-10 11:02:29.30	RN	"done and sent"	3	19*	ack-done	None
22	2018-09-10 11:02:31.71	DM->CMD	"done, sent"	3	21	translation-l	None
23	2018-09-10 11:02:42.41	CMD	"move forward three feet"	4	None	None	None
24	2018-09-10 11:02:46.69	DM->CMD	"I will move forward 3 feet"	4	23	ack-wilco	None
25	2018-09-10 11:02:47.19	DM->RN	"move forward 3 feet"	4	23	translation-r-direct	None
26	2018-09-10 11:02:49.32	RN	"i don't think i have <pause .25> three feet here"	4	25	comment	None
27	2018-09-10 11:02:56.31	RN	"okay"	4	26	continue	None
28	2018-09-10 11:03:01.61	CMD	"take a photo"	4	23	continue	None
29	2018-09-10 11:03:03.28	RN	"done"	4	25	ack-done	None
30	2018-09-10 11:03:03.69	RN	"it was about one and a half feet"	4	29	comment	None
31	2018-09-10 11:03:05.83	DM->RN	"send image"	4	28	translation-r-direct	None
32	2018-09-10 11:03:07.14	RN	"sent"	4	31	ack-done	None
33	2018-09-10 11:03:11.72	DM->CMD	"done, sent"	4	32*	translation-l	None
34	2018-09-10 11:03:18.29	CMD	"oh turn forty five degrees to your right"	5	None	None	None
35	2018-09-10 11:03:22.07	CMD	"and take a photo of the object on your left"	5	34	continue	None
36	2018-09-10 11:03:28.34	DM->CMD	"processing. . ."	5	35*	processing	None
37	2018-09-10 11:03:37.67	DM->RN	"turn right 45 degrees"	5	34	translation-r-direct	None
38	2018-09-10 11:03:38.98	DM->RN	"then. . ."	5	37	link-next	None
39	2018-09-10 11:03:39.93	DM->RN	"send image"	5	35	translation-r-direct	None
40	2018-09-10 11:03:44.03	DM->CMD	"turning. . ."	5	34	ack-doing	None
41	2018-09-10 11:03:47.14	RN	"done and sent"	5	39*	ack-done	None
42	2018-09-10 11:03:51.01	DM->CMD	"done, sent"	5	41	translation-l	None
43	2018-09-10 11:03:58.27	CMD	"turn forty five degrees to your right"	6	None	None	None
44	2018-09-10 11:04:00.30	CMD	"and take a photo of the object on the right"	6	43	continue	None
45	2018-09-10 11:04:09.09	DM->CMD	"processing. . ."	6	44*	processing	None
46	2018-09-10 11:04:13.42	DM->RN	"turn right 45 degrees"	6	43	translation-r-direct	None
47	2018-09-10 11:04:14.51	DM->RN	"then. . ."	6	46	link-next	None
48	2018-09-10 11:04:15.81	DM->RN	"send image"	6	44	translation-r-direct	None
49	2018-09-10 11:04:18.14	DM->CMD	"executing. . ."	6	44*	ack-doing	None
50	2018-09-10 11:04:22.94	RN	"done and sent"	6	48*	ack-done	None
51	2018-09-10 11:04:27.18	DM->CMD	"done, sent"	6	50	translation-l	None
52	2018-09-10 11:04:36.07	CMD	"move forward three feet"	7	None	None	None
53	2018-09-10 11:04:37.88	CMD	"and take another photo"	7	52	continue	None
54	2018-09-10 11:04:43.19	DM->CMD	"processing. . ."	7	53*	processing	None
55	2018-09-10 11:04:45.72	DM->RN	"move forward 3 feet"	7	52	translation-r-direct	None
56	2018-09-10 11:04:47.12	DM->RN	"then. . ."	7	55	link-next	None
57	2018-09-10 11:04:48.08	DM->RN	"send image"	7	53	translation-r-direct	None
58	2018-09-10 11:04:54.69	RN	"done and sent"	7	57*	ack-done	None
59	2018-09-10 11:04:56.77	DM->CMD	"done, sent"	7	58	translation-l	None
60	2018-09-10 11:04:59.27	CMD	"turn forty five degrees to your left"	8	None	None	None
61	2018-09-10 11:05:01.22	CMD	"and move three feet forward"	8	60	continue	None
62	2018-09-10 11:05:05.84	DM->CMD	"ok"	8	61*	ack-wilco	None
63	2018-09-10 11:05:07.94	DM->RN	"turn left 45 degrees"	8	60	translation-r-direct	None
64	2018-09-10 11:05:09.04	DM->RN	"then. . ."	8	63	link-next	None
65	2018-09-10 11:05:10.20	DM->RN	"move forward 3 feet"	8	61	translation-r-direct	None
66	2018-09-10 11:05:12.40	DM->CMD	"turning. . ."	8	60	ack-doing	None
67	2018-09-10 11:05:23.08	RN	"done"	8	65*	ack-done	None
68	2018-09-10 11:05:23.37	CMD	"take a photo"	9	None	None	None
69	2018-09-10 11:05:23.98	DM->CMD	"I moved forward 3 feet"	8	67	translation-l	None
70	2018-09-10 11:05:27.46	DM->RN	"send image"	9	68	translation-r-direct	None
71	2018-09-10 11:05:28.02	RN	"sent"	9	70	ack-done	None
72	2018-09-10 11:05:30.83	DM->CMD	"sent"	9	71	translation-l	None
73	2018-09-10 11:05:40.40	CMD	"turn forty five degrees to your right <pause .40>"	10	None	None	None
74	2018-09-10 11:05:43.07	CMD	"and move three feet forward"	10	73	continue	None
75	2018-09-10 11:05:48.33	DM->CMD	"processing. . ."	10	74*	processing	None
76	2018-09-10 11:05:50.46	DM->RN	"turn right 45 degrees"	10	73	translation-r-direct	None
77	2018-09-10 11:05:51.72	DM->RN	"then. . ."	10	76	link-next	None
78	2018-09-10 11:05:53.51	DM->RN	"move forward 3 feet"	10	74	translation-r-direct	None
79	2018-09-10 11:06:00.98	DM->CMD	"moving. . ."	10	74	ack-doing	None
80	2018-09-10 11:06:05.43	RN	"done"	10	78*	ack-done	None
81	2018-09-10 11:06:06.03	CMD	"turn forty five degrees to your right"	11	None	None	None
82	2018-09-10 11:06:07.07	DM->CMD	"done"	10	80	translation-l	None
83	2018-09-10 11:06:07.82	CMD	"and take a photo"	11	81	continue	None
84	2018-09-10 11:06:14.41	DM->CMD	"ok"	11	83*	ack-wilco	None
85	2018-09-10 11:06:16.78	DM->RN	"turn right 45 degrees"	11	81	translation-r-direct	None
86	2018-09-10 11:06:18.43	DM->RN	"then. . ."	11	85	link-next	None
87	2018-09-10 11:06:19.38	DM->RN	"send image"	11	83	translation-r-direct	None
88	2018-09-10 11:06:24.67	RN	"done and sent"	11	87*	ack-done	None
89	2018-09-10 11:06:26.88	DM->CMD	"done, sent"	11	88	translation-l	None
90	2018-09-10 11:06:31.66	CMD	"turn forty five degrees to your right"	12	None	None	None
91	2018-09-10 11:06:33.53	CMD	"and take a photo"	12	90	continue	None
92	2018-09-10 11:06:39.07	DM->RN	"turn right 45 degrees"	12	91	translation-r-direct	None
93	2018-09-10 11:06:39.65	DM->CMD	"I will turn right 45 degrees"	12	91	ack-wilco	None
94	2018-09-10 11:06:40.90	DM->RN	"send image"	12	91	translation-r-direct	None
95	2018-09-10 11:06:41.44	DM->CMD	"I will send a picture"	12	91	ack-wilco	None
96	2018-09-10 11:06:48.57	RN	"done and sent"	12	94*	ack-done	None
97	2018-09-10 11:06:51.80	DM->CMD	"done, sent"	12	96	translation-l	None
98	2018-09-10 11:07:31.31	CMD	"turn forty five degrees to your left"	13	None	None	None
99	2018-09-10 11:07:33.14	CMD	"and take a photo"	13	98	continue	None
100	2018-09-10 11:07:38.36	DM->CMD	"processing. . ."	13	99*	processing	None
101	2018-09-10 11:07:40.62	DM->RN	"turn left 45 degrees"	13	98	translation-r-direct	None
102	2018-09-10 11:07:41.50	DM->RN	"then. . ."	13	101	link-next	None
103	2018-09-10 11:07:42.40	DM->RN	"send image"	13	99	translation-r-direct	None
104	2018-09-10 11:07:45.09	DM->CMD	"turning. . ."	13	98	ack-doing	None
105	2018-09-10 11:07:52.38	RN	"done and sent"	13	103*	ack-done	None
106	2018-09-10 11:07:55.29	DM->CMD	"done, sent"	13	105	translation-l	None
107	2018-09-10 11:07:57.90	CMD	"turn forty five degrees to your left"	14	None	None	None
108	2018-09-10 11:07:59.91	CMD	"and move three feet forward"	14	107	continue	None
109	2018-09-10 11:08:04.81	DM->CMD	"processing. . ."	14	108*	processing	None
110	2018-09-10 11:08:07.05	DM->RN	"turn left 45 degrees"	14	107	translation-r-direct	None
111	2018-09-10 11:08:08.03	DM->RN	"then. . ."	14	110	link-next	None
112	2018-09-10 11:08:09.22	DM->RN	"move forward 3 feet"	14	108	translation-r-direct	None
113	2018-09-10 11:08:12.74	DM->CMD	"I will turn left 45 degrees"	14	107	ack-wilco	None
114	2018-09-10 11:08:18.74	DM->CMD	"I will move forward 3 feet"	14	108	ack-wilco	None
115	2018-09-10 11:08:23.08	RN	"done"	14	112*	ack-done	None
