id	time	stream	text	context	notes
0	0	CMD	"(calibrate)"	None	None
1	2018-09-10 14:16:32.76	DM->RN	"calibrate"	None	None
2	2018-09-10 14:16:33.82	DM->CMD	"calibrating. . ."	lidar1	None
3	2018-09-10 14:16:57.08	CMD	"<X: xxx>"	None	None
4	2018-09-10 14:16:58.81	CMD	"<no speech>"	None	None
5	2018-09-10 14:17:05.03	RN	"<X: audio sync in three two one>"	None	None
6	2018-09-10 14:17:05.07	CMD	"<X: audio sync in three two one>"	None	None
7	2018-09-10 14:17:09.11	RN	"<loud noise>"	None	None
8	2018-09-10 14:17:09.11	CMD	"<loud noise>"	None	None
9	2018-09-10 14:17:09.49	CMD	"<no speech>"	None	None
10	2018-09-10 14:17:12.08	CMD	"<X: alright you can let it>"	None	None
11	2018-09-10 14:17:12.41	DM->CMD	"calibration complete"	lidar2	None
12	2018-09-10 14:17:20.80	CMD	"i am ready"	None	None
13	2018-09-10 14:17:22.38	DM->RN	"participant is ready"	None	None
14	2018-09-10 14:17:25.23	DM->CMD	"I'm also ready.  <beep>"	lidar3	None
15	2018-09-10 14:17:32.66	CMD	"proceed to the nearest doorway"	None	None
16	2018-09-10 14:17:37.88	DM->CMD	"The one directly ahead of me?  <beep>"	lidar4	None
17	2018-09-10 14:17:39.77	CMD	"yes"	None	None
18	2018-09-10 14:17:42.98	DM->CMD	"ok"	lidar5	None
19	2018-09-10 14:17:46.75	DM->RN	"move into TV room"	None	None
20	2018-09-10 14:17:56.28	RN	"done"	None	None
21	2018-09-10 14:17:57.60	DM->CMD	"done"	lidar6	None
22	2018-09-10 14:17:58.20	CMD	"take a photo"	None	None
23	2018-09-10 14:18:01.42	DM->RN	"send image"	None	None
i000	2018-09-10 14:18:06.22	IMAGE	"frame000"	None	None
24	2018-09-10 14:18:02.25	RN	"sent"	None	None
25	2018-09-10 14:18:03.33	DM->CMD	"sent"	lidar7	None
26	2018-09-10 14:18:07.07	CMD	"go through <pause .55> go through the doorway"	None	None
27	2018-09-10 14:18:13.56	DM->CMD	"I'm unsure which doorway you mean.  <beep>"	lidar8	None
28	2018-09-10 14:18:15.08	CMD	"the one directly ahead of you"	None	None
29	2018-09-10 14:18:21.35	DM->CMD	"Do you mean the one on the left?  <beep>"	lidar9	None
30	2018-09-10 14:18:22.42	CMD	"yes"	None	None
31	2018-09-10 14:18:25.17	DM->CMD	"ok"	lidar10	None
32	2018-09-10 14:18:28.98	DM->RN	"move into TV hallway"	None	None
33	2018-09-10 14:18:32.28	DM->CMD	"executing. . ."	lidar11	None
34	2018-09-10 14:18:42.09	RN	"done"	None	None
35	2018-09-10 14:18:43.18	DM->CMD	"done"	lidar12	None
36	2018-09-10 14:18:43.49	CMD	"proceed to the next nearest doorway"	None	None
37	2018-09-10 14:18:52.78	DM->CMD	"Would you like me to send a picture?  <beep>"	lidar13	None
38	2018-09-10 14:18:54.02	CMD	"yes"	None	None
39	2018-09-10 14:18:55.51	DM->RN	"send image"	None	None
i001	2018-09-10 14:18:59.57	IMAGE	"frame001"	None	None
40	2018-09-10 14:18:56.17	RN	"sent"	None	None
41	2018-09-10 14:18:57.19	DM->CMD	"sent"	lidar14	None
42	2018-09-10 14:19:05.38	DM->CMD	"I see more than one doorway.  <beep>"	lidar15	None
43	2018-09-10 14:19:07.71	CMD	"the one closest to you"	None	None
44	2018-09-10 14:19:12.53	DM->CMD	"Which doorway?  <beep>"	lidar16	None
45	2018-09-10 14:19:13.74	CMD	"the one that you could see that is close <pause .30> closest to you"	None	None
46	2018-09-10 14:19:24.82	DM->CMD	"ok"	lidar17	None
47	2018-09-10 14:19:36.29	DM->RN	"move into Shoe Start room"	None	None
48	2018-09-10 14:19:55.96	RN	"done"	None	None
49	2018-09-10 14:19:57.22	CMD	"take a photo"	None	None
50	2018-09-10 14:19:58.24	DM->CMD	"done"	lidar18	None
51	2018-09-10 14:20:01.14	DM->RN	"send image"	None	None
i002	2018-09-10 14:20:04.25	IMAGE	"frame002"	None	None
52	2018-09-10 14:20:01.69	RN	"sent"	None	None
53	2018-09-10 14:20:03.50	DM->CMD	"sent"	lidar19	None
54	2018-09-10 14:20:12.62	CMD	"go through the doorway"	None	None
55	2018-09-10 14:20:16.49	DM->CMD	"Which doorway?  <beep>"	lidar20	None
56	2018-09-10 14:20:18.98	CMD	"the one that's closest to you"	None	None
57	2018-09-10 14:20:28.49	DM->CMD	"ok"	lidar21	None
58	2018-09-10 14:20:30.16	DM->RN	"move into Kitchen hallway"	None	None
59	2018-09-10 14:20:42.01	CMD	"go the go the opposite way"	None	None
60	2018-09-10 14:20:46.78	RN	"done"	None	None
61	2018-09-10 14:20:47.75	DM->CMD	"done"	lidar22	None
62	2018-09-10 14:20:49.74	CMD	"turn around um"	None	None
63	2018-09-10 14:20:51.06	CMD	"and go back where you were"	None	None
64	2018-09-10 14:20:56.11	DM->CMD	"ok"	lidar23	None
65	2018-09-10 14:20:58.75	DM->RN	"move into Shoe Start room"	None	None
66	2018-09-10 14:21:18.60	RN	"done"	None	None
67	2018-09-10 14:21:19.61	DM->CMD	"done"	lidar24	None
68	2018-09-10 14:21:19.76	CMD	"um take a photo of the room"	None	None
69	2018-09-10 14:21:23.55	DM->RN	"send image"	None	None
i003	2018-09-10 14:21:25.62	IMAGE	"frame003"	None	None
70	2018-09-10 14:21:24.35	RN	"sent"	None	None
71	2018-09-10 14:21:25.60	DM->CMD	"sent"	lidar25	None
72	2018-09-10 14:21:32.23	CMD	"go through a new doorway"	None	None
73	2018-09-10 14:21:39.35	DM->CMD	"Can you rephrase that?  <beep>"	lidar26	None
74	2018-09-10 14:21:40.93	CMD	"go through another door"	None	None
75	2018-09-10 14:21:50.19	DM->CMD	"Which doorway?  <beep>"	lidar27	None
76	2018-09-10 14:21:53.75	CMD	"the one that you haven't gone through"	None	None
77	2018-09-10 14:21:58.77	DM->CMD	"I'm not sure."	lidar28	None
78	2018-09-10 14:22:01.53	CMD	"a different door"	None	None
79	2018-09-10 14:22:05.24	DM->CMD	"Hmm, I'm not sure what you would like me to do. <beep>"	lidar29	None
80	2018-09-10 14:22:07.16	CMD	"go through a doorway that you haven't been through"	None	None
81	2018-09-10 14:22:18.28	DM->CMD	"I'm not sure what you are asking me to do.  <beep>"	lidar30	None
82	2018-09-10 14:22:22.53	CMD	"um go <pause .33> go straight"	None	None
83	2018-09-10 14:22:29.50	DM->CMD	"How far should I move forward? <beep>"	lidar31	None
84	2018-09-10 14:22:32.80	CMD	"five feet"	None	None
85	2018-09-10 14:22:41.85	DM->CMD	"ok"	lidar32	None
86	2018-09-10 14:22:45.11	DM->RN	"move forward 5 feet"	None	None
87	2018-09-10 14:22:48.94	CMD	"okay stop"	None	None
88	2018-09-10 14:22:52.23	DM->RN	"stop"	None	None
89	2018-09-10 14:22:54.63	RN	"done"	None	None
90	2018-09-10 14:22:55.04	RN	"i could move about four"	None	None
91	2018-09-10 14:22:55.27	DM->CMD	"done"	lidar33	None
92	2018-09-10 14:22:57.00	CMD	"go east"	None	None
93	2018-09-10 14:23:01.36	CMD	"go east five feet"	None	None
94	2018-09-10 14:23:01.44	DM->CMD	"processing. . ."	lidar34	None
95	2018-09-10 14:23:03.67	DM->RN	"turn to face East"	None	None
96	2018-09-10 14:23:05.46	DM->RN	"then. . ."	None	None
97	2018-09-10 14:23:07.75	DM->RN	"move forward 5 feet"	None	None
98	2018-09-10 14:23:10.78	DM->CMD	"executing. . ."	lidar35	None
99	2018-09-10 14:23:25.25	RN	"done"	None	None
100	2018-09-10 14:23:26.23	DM->CMD	"done"	lidar36	None
101	2018-09-10 14:23:26.59	CMD	"go through the doorway uh heading uh <pause .71> north"	None	None
102	2018-09-10 14:23:33.05	DM->CMD	"The one to my left?  <beep>"	lidar37	None
103	2018-09-10 14:23:34.29	CMD	"yes"	None	None
104	2018-09-10 14:23:35.46	DM->CMD	"ok"	lidar38	None
105	2018-09-10 14:23:38.51	DM->RN	"move into TV room"	None	None
106	2018-09-10 14:23:50.40	CMD	"take a photo"	None	None
107	2018-09-10 14:23:51.81	RN	"done"	None	None
108	2018-09-10 14:23:52.87	DM->CMD	"done"	lidar39	None
109	2018-09-10 14:23:55.19	DM->RN	"send image"	None	None
i004	2018-09-10 14:23:55.18	IMAGE	"frame004"	None	None
110	2018-09-10 14:23:55.88	RN	"sent"	None	None
111	2018-09-10 14:23:56.83	DM->CMD	"sent"	lidar40	None
112	2018-09-10 14:24:05.92	CMD	"take a photo of a room"	None	None
113	2018-09-10 14:24:17.95	DM->RN	"send image"	None	None
i005	2018-09-10 14:24:17.87	IMAGE	"frame005"	None	None
114	2018-09-10 14:24:19.02	RN	"sent"	None	None
115	2018-09-10 14:24:20.10	DM->CMD	"sent"	lidar41	None
116	2018-09-10 14:24:34.46	CMD	"go straight"	None	None
117	2018-09-10 14:24:39.01	DM->CMD	"I'm unsure where or when I should stop going forward.  <beep>"	lidar42	None
118	2018-09-10 14:24:40.76	CMD	"five feet"	None	None
119	2018-09-10 14:24:45.10	DM->CMD	"ok"	lidar43	None
120	2018-09-10 14:24:49.29	DM->RN	"move forward 5 feet"	None	None
121	2018-09-10 14:24:54.13	DM->CMD	"moving. . ."	lidar44	None
122	2018-09-10 14:25:00.10	CMD	"<no speech>"	None	None
123	2018-09-10 14:25:00.48	RN	"done"	None	None
124	2018-09-10 14:25:01.50	DM->CMD	"I moved forward 5 feet"	lidar45	None
125	2018-09-10 14:25:02.98	CMD	"go west <pause .33> five feet"	None	None
126	2018-09-10 14:25:12.39	DM->CMD	"processing. . ."	lidar46	None
127	2018-09-10 14:25:22.13	DM->RN	"turn to face West"	None	None
128	2018-09-10 14:25:25.11	DM->RN	"then. . ."	None	None
129	2018-09-10 14:25:35.92	CMD	"oh go um go through the doorway <pause .34> ah uh <pause .28> directly <pause .47> ahead of you"	None	None
130	2018-09-10 14:25:43.33	DM->CMD	"ok"	lidar47	None
131	2018-09-10 14:25:47.70	DM->RN	"move into TV hallway"	None	None
132	2018-09-10 14:25:49.75	DM->CMD	"executing. . ."	lidar48	None
133	2018-09-10 14:25:59.56	CMD	"go through the door nearest uh <pause .31> go through the doorway nearest to you"	None	None
134	2018-09-10 14:26:02.71	RN	"done"	None	None
135	2018-09-10 14:26:03.39	CMD	"take a photo"	None	None
136	2018-09-10 14:26:04.23	DM->CMD	"done"	lidar49	None
137	2018-09-10 14:26:07.92	DM->RN	"send image"	None	None
i006	2018-09-10 14:26:06.09	IMAGE	"frame006"	None	None
138	2018-09-10 14:26:08.85	RN	"sent"	None	None
139	2018-09-10 14:26:09.71	DM->CMD	"sent"	lidar50	None
140	2018-09-10 14:26:21.73	CMD	"go to the nearest shoe"	None	None
141	2018-09-10 14:26:30.98	DM->CMD	"processing. . ."	lidar51	None
142	2018-09-10 14:26:38.89	DM->CMD	"I don't know what all the objects are around me.   <beep>"	lidar52	None
143	2018-09-10 14:26:44.40	CMD	"go to a um <pause .60> to a new uh <pause .30> new object <pause .48> in the room"	None	None
144	2018-09-10 14:26:54.71	DM->CMD	"I see objects all around me; I need your help to decide which are important. <beep>"	lidar53	None
145	2018-09-10 14:26:56.44	DM->CMD	"There's too much lag in our communications for instantaneous instructions.  <beep>"	lidar54	None
146	2018-09-10 14:26:57.91	DM->CMD	"If you describe an object, you can help me locate it.  <beep>"	lidar55	None
147	2018-09-10 14:27:02.88	CMD	"go to a small object in the room"	None	None
148	2018-09-10 14:27:08.86	DM->RN	"send image"	None	None
