id	time	stream	text	context	notes
0	0	CMD	"(calibrate)"	None	None
1	2018-08-31 14:22:47.49	DM->RN	"calibrate"	None	None
2	2018-08-31 14:22:49.68	DM->CMD	"calibrating. . ."	None	None
3	2018-08-31 14:23:20.02	CMD	"<X: xxx>"	None	None
4	2018-08-31 14:23:21.01	CMD	"mhm"	None	None
5	2018-08-31 14:23:21.60	CMD	"<no speech>"	None	None
6	2018-08-31 14:23:28.16	RN	"<X: audio sync in three two one>"	None	None
7	2018-08-31 14:23:28.19	CMD	"<X: audio sync in three two one>"	None	None
8	2018-08-31 14:23:32.11	RN	"<loud noise>"	None	None
9	2018-08-31 14:23:32.11	CMD	"<loud noise>"	None	None
10	2018-08-31 14:23:34.84	CMD	"<X: okay>"	None	None
11	2018-08-31 14:23:34.84	DM->CMD	"calibration complete"	None	None
12	2018-08-31 14:23:35.21	CMD	"<X: you can let up>"	None	None
13	2018-08-31 14:23:45.53	CMD	"i am ready"	None	None
14	2018-08-31 14:23:47.12	DM->RN	"participant is ready"	None	None
15	2018-08-31 14:23:49.77	DM->CMD	"Hello! <beep>"	None	None
16	2018-08-31 14:23:51.25	DM->CMD	"Thanks for teaming up with me today."	None	None
17	2018-08-31 14:23:55.63	DM->CMD	"Please be aware that there may be lag times in receiving and processing your requests."	None	None
18	2018-08-31 14:24:01.49	DM->CMD	"I'll give you feedback on what I'm doing, let you know if there is a problem, and I may ask for more information."	None	None
19	2018-08-31 14:24:08.04	DM->CMD	"You can ask for help at any time."	None	None
20	2018-08-31 14:24:12.61	DM->CMD	"I'm ready.  <beep>"	None	None
21	2018-08-31 14:24:23.65	CMD	"<no speech>"	None	None
22	2018-08-31 14:24:23.97	CMD	"okay"	None	None
23	2018-08-31 14:24:24.50	CMD	"we are going to figure out how many number of doorways we have here <pause .48> so please <pause .25> search for that <pause .33> for me"	None	None
24	2018-08-31 14:24:39.74	DM->CMD	"processing. . ."	None	None
25	2018-08-31 14:24:43.24	DM->CMD	"You can tell me to move a certain distance or to move to an object.  <beep>"	None	None
26	2018-08-31 14:24:50.95	CMD	"<no speech>"	None	None
27	2018-08-31 14:24:52.10	CMD	"please move forward"	None	None
28	2018-08-31 14:24:56.86	DM->CMD	"How far forward should I go?  <beep>"	None	None
29	2018-08-31 14:25:04.20	CMD	"<no speech>"	None	None
30	2018-08-31 14:25:07.69	CMD	"a few feet"	None	None
31	2018-08-31 14:25:14.18	DM->CMD	"How far is a little bit? <beep>"	None	None
32	2018-08-31 14:25:20.60	CMD	"<no speech>"	None	None
33	2018-08-31 14:25:21.89	CMD	"a third of the way <pause .42> through the room"	None	None
34	2018-08-31 14:25:26.78	DM->CMD	"ok"	None	None
35	2018-08-31 14:25:31.98	DM->CMD	"processing. . ."	None	None
36	2018-08-31 14:25:43.20	DM->RN	"move forward until parallel with alley Door 2"	None	None
37	2018-08-31 14:25:50.30	CMD	"stop"	None	None
38	2018-08-31 14:25:56.67	CMD	"<no speech>"	None	None
39	2018-08-31 14:25:57.38	CMD	"stop"	None	None
40	2018-08-31 14:25:57.88	CMD	"<no speech>"	None	None
41	2018-08-31 14:26:00.98	DM->RN	"stop"	None	None
42	2018-08-31 14:26:01.61	RN	"done"	None	None
43	2018-08-31 14:26:04.47	DM->CMD	"done"	None	None
44	2018-08-31 14:26:05.61	DM->CMD	"There's too much lag in our communications for instantaneous instructions.  <beep>"	None	None
45	2018-08-31 14:26:14.93	CMD	"go back to the entrance"	None	None
46	2018-08-31 14:26:19.00	DM->CMD	"ok"	None	None
47	2018-08-31 14:26:24.26	DM->RN	"return to starting point"	None	None
48	2018-08-31 14:26:46.60	RN	"done"	None	None
49	2018-08-31 14:26:48.82	DM->CMD	"done"	None	None
50	2018-08-31 14:26:51.82	CMD	"<no speech>"	None	None
51	2018-08-31 14:26:52.76	CMD	"you are not at the total entrance"	None	None
52	2018-08-31 14:27:00.76	DM->CMD	"processing. . ."	None	None
53	2018-08-31 14:27:05.33	DM->RN	"move to Alley start position"	None	None
54	2018-08-31 14:27:19.07	CMD	"stop"	None	None
55	2018-08-31 14:27:24.90	CMD	"reverse direction"	None	None
56	2018-08-31 14:27:25.56	DM->CMD	"done"	None	None
57	2018-08-31 14:27:28.56	DM->CMD	"ok"	None	None
58	2018-08-31 14:27:34.08	DM->CMD	"I will turn around 180 degrees"	None	None
59	2018-08-31 14:27:35.69	DM->RN	"turn 180"	None	None
60	2018-08-31 14:27:48.69	RN	"done"	None	None
61	2018-08-31 14:27:50.89	DM->CMD	"done"	None	None
62	2018-08-31 14:27:52.38	CMD	"from the beginning <pause .92> of the room to your right <pause .33> count the doorways"	None	None
63	2018-08-31 14:28:04.92	DM->CMD	"processing. . ."	None	None
64	2018-08-31 14:28:06.82	DM->CMD	"Should I send a picture? <beep>"	None	None
65	2018-08-31 14:28:10.04	CMD	"yes"	None	None
66	2018-08-31 14:28:12.32	DM->RN	"send image"	None	None
i000	2018-08-31 14:28:15.32	IMAGE	"frame000"	None	None
67	2018-08-31 14:28:14.03	RN	"sent"	None	None
68	2018-08-31 14:28:14.54	DM->CMD	"sent"	None	None
69	2018-08-31 14:28:29.19	CMD	"at your rear right is that a doorway"	None	None
70	2018-08-31 14:28:37.04	DM->CMD	"Which doorway?  <beep>"	None	None
71	2018-08-31 14:28:38.97	CMD	"behind you to the right"	None	None
72	2018-08-31 14:28:43.11	DM->CMD	"no"	None	None
73	2018-08-31 14:28:45.06	CMD	"begin counting doorways"	None	None
74	2018-08-31 14:28:57.01	DM->CMD	"I see objects all around me; I need your help to decide which are important. <beep>"	None	None
75	2018-08-31 14:29:02.09	CMD	"move forward"	None	None
76	2018-08-31 14:29:07.25	DM->CMD	"I'm unsure where or when I should stop going forward.  <beep>"	None	None
77	2018-08-31 14:29:14.86	CMD	"there's something that looks like a doorway to your right <pause .50> front right <pause .60> pass it by"	None	None
78	2018-08-31 14:29:30.76	DM->CMD	"I don't see a door on the right.  <beep>"	None	None
79	2018-08-31 14:29:34.76	CMD	"continue moving forward"	None	None
80	2018-08-31 14:29:39.21	DM->CMD	"ok"	None	None
81	2018-08-31 14:29:40.01	DM->CMD	"How far forward should I go?  <beep>"	None	None
82	2018-08-31 14:29:49.79	CMD	"ten feet"	None	None
83	2018-08-31 14:29:51.18	DM->CMD	"ok, I think I got it."	None	None
84	2018-08-31 14:29:55.30	DM->RN	"move forward 10 feet"	None	None
85	2018-08-31 14:30:05.24	RN	"done"	None	None
86	2018-08-31 14:30:07.39	DM->CMD	"done"	None	None
87	2018-08-31 14:30:12.43	CMD	"reverse <pause .59> five feet"	None	None
88	2018-08-31 14:30:17.56	DM->CMD	"ok"	None	None
89	2018-08-31 14:30:22.84	DM->RN	"move back 5"	None	None
90	2018-08-31 14:30:33.94	CMD	"stop"	None	None
91	2018-08-31 14:30:35.11	RN	"done"	None	None
92	2018-08-31 14:30:36.34	DM->CMD	"done"	None	None
93	2018-08-31 14:30:36.48	CMD	"is that a door to your <pause .41> front right"	None	None
94	2018-08-31 14:30:45.64	DM->CMD	"no"	None	None
95	2018-08-31 14:30:49.28	DM->CMD	"I don't see a door on the right.  <beep>"	None	None
96	2018-08-31 14:30:52.76	CMD	"move forward <pause 1.10> four feet"	None	None
97	2018-08-31 14:30:58.70	DM->CMD	"processing. . ."	None	None
98	2018-08-31 14:31:04.87	DM->RN	"move forward 4"	None	None
99	2018-08-31 14:31:07.49	CMD	"stop"	None	None
100	2018-08-31 14:31:11.75	RN	"done"	None	None
101	2018-08-31 14:31:13.07	DM->CMD	"done"	None	None
102	2018-08-31 14:31:15.71	DM->CMD	"There's too much lag in our communications for instantaneous instructions.  <beep>"	None	None
103	2018-08-31 14:31:19.95	CMD	"are there any doorways to your right"	None	None
104	2018-08-31 14:31:27.07	DM->CMD	"I don't see a door on the right.  <beep>"	None	None
105	2018-08-31 14:31:31.45	CMD	"move forward <pause .41> five feet"	None	None
106	2018-08-31 14:31:35.28	DM->CMD	"ok"	None	None
107	2018-08-31 14:31:38.13	DM->RN	"move forward 5 feet"	None	None
108	2018-08-31 14:31:43.77	CMD	"stop"	None	None
109	2018-08-31 14:31:46.37	RN	"done"	None	None
110	2018-08-31 14:31:47.54	DM->CMD	"I moved forward 5 feet"	None	None
111	2018-08-31 14:31:48.92	CMD	"take a picture to your right"	None	None
112	2018-08-31 14:31:57.35	DM->CMD	"processing. . ."	None	None
113	2018-08-31 14:32:01.76	DM->RN	"turn right 90 degrees"	None	None
114	2018-08-31 14:32:03.52	DM->RN	"then. . ."	None	None
