id	time	stream	text	context	notes
0	0	CMD	"(calibrate)"	None	None
1	2018-08-24 10:41:39.85	DM->CMD	"calibrating. . ."	None	None
2	2018-08-24 10:41:42.72	DM->RN	"calibrate"	None	None
3	2018-08-24 10:42:19.78	CMD	"sure"	None	None
4	2018-08-24 10:42:30.23	CMD	"<X: audio sync in three two one>"	None	None
5	2018-08-24 10:42:30.25	RN	"<X: audio sync in three two one>"	None	None
6	2018-08-24 10:42:34.24	RN	"<loud noise>"	None	None
7	2018-08-24 10:42:34.24	CMD	"<loud noise>"	None	None
8	2018-08-24 10:42:41.43	CMD	"<X: ok you can let it up>"	None	None
9	2018-08-24 10:42:43.91	DM->CMD	"calibration complete"	None	None
10	2018-08-24 10:42:55.25	CMD	"i am ready"	None	None
11	2018-08-24 10:42:57.90	DM->RN	"participant is ready"	None	None
12	2018-08-24 10:43:01.17	DM->CMD	"I'm also ready.  <beep>"	None	None
13	2018-08-24 10:43:12.01	CMD	"can you take pictures <pause .40> of doorways that you see all around the room"	None	None
14	2018-08-24 10:43:31.54	DM->CMD	"I need your help to find doorways."	None	None
15	2018-08-24 10:43:45.10	DM->CMD	"Would you like me to send a picture?  <beep>"	None	None
16	2018-08-24 10:43:49.15	CMD	"turn to the right"	None	None
17	2018-08-24 10:43:52.53	CMD	"and move along the entire wall"	None	None
18	2018-08-24 10:43:55.77	CMD	"<no speech>"	None	None
19	2018-08-24 10:43:56.67	CMD	"and take pictures of the entire wall for me"	None	None
20	2018-08-24 10:44:01.19	CMD	"from the beginning of the room till the end of the room"	None	None
21	2018-08-24 10:44:09.16	DM->CMD	"processing. . ."	None	None
22	2018-08-24 10:44:19.11	DM->CMD	"I didn't get all of that.  <beep>"	None	None
23	2018-08-24 10:44:20.15	DM->CMD	"Could you break it down for me?  <beep>"	None	None
24	2018-08-24 10:44:27.54	CMD	"turn to your right"	None	None
25	2018-08-24 10:44:30.25	CMD	"and take pictures of the wall every three feet"	None	None
26	2018-08-24 10:44:35.88	CMD	"until the wall finishes"	None	None
27	2018-08-24 10:44:42.19	DM->CMD	"processing. . ."	None	None
28	2018-08-24 10:44:58.42	DM->RN	"turn right 90 degrees"	None	None
29	2018-08-24 10:44:59.56	DM->RN	"then. . ."	None	None
30	2018-08-24 10:45:03.67	DM->RN	"send image"	None	None
31	2018-08-24 10:45:04.88	DM->RN	"then. . ."	None	None
32	2018-08-24 10:45:06.03	DM->RN	"move forward 3 feet"	None	None
33	2018-08-24 10:45:07.37	DM->RN	"then. . ."	None	None
34	2018-08-24 10:45:08.33	DM->RN	"send image"	None	None
35	2018-08-24 10:45:11.60	DM->CMD	"executing. . ."	None	None
i000	2018-08-24 10:45:17.41	IMAGE	"frame000"	None	None
i001	2018-08-24 10:45:24.94	IMAGE	"frame001"	None	None
36	2018-08-24 10:45:23.07	RN	"done and sent"	None	None
37	2018-08-24 10:45:25.03	DM->CMD	"done, sent"	None	None
38	2018-08-24 10:45:59.02	CMD	"keep moving to your left"	None	None
39	2018-08-24 10:46:02.11	CMD	"and take pictures"	None	None
40	2018-08-24 10:46:05.35	CMD	"of the wall"	None	None
41	2018-08-24 10:46:06.35	CMD	"<no speech>"	None	None
42	2018-08-24 10:46:09.34	CMD	"as you go along so i can see the whole wall"	None	None
43	2018-08-24 10:46:15.95	DM->CMD	"processing. . ."	None	None
44	2018-08-24 10:46:29.34	DM->CMD	"I will turn left 90 degrees"	None	None
45	2018-08-24 10:46:30.05	DM->RN	"turn left 90 degrees"	None	None
46	2018-08-24 10:46:31.40	DM->CMD	"I will send a picture"	None	None
47	2018-08-24 10:46:32.03	DM->RN	"send image"	None	None
i002	2018-08-24 10:46:44.16	IMAGE	"frame002"	None	None
48	2018-08-24 10:46:43.72	RN	"done and sent"	None	None
49	2018-08-24 10:46:45.61	DM->CMD	"done, sent"	None	None
