id	time	stream	text	context	notes
1	2019-10-08 13:04:04.82	CMD	"calibrate"	None	None
2	1976-05-08 04:29:44.00	DM->RN	" calibrate"	None	None
3	1976-05-08 04:29:47.00	DM->CMD	"I will calibrate...."	None	None
4	2019-10-08 13:04:33.42	RN	" calibrating. . ."	None	None
5	2019-10-08 13:04:33.42	DM->CMD	"calibrating. . ."	None	None
6	2019-10-08 13:04:47.76	RN	" calibration complete"	None	None
7	2019-10-08 13:04:47.77	DM->CMD	"calibration complete"	None	None
8	2019-10-08 13:04:42.42	CMD	"I'm ready"	None	None
9	2019-10-08 13:05:04.85	DM->RN	" participant is ready"	None	None
10	2019-10-08 13:05:04.86	DM->CMD	"Processing...."	None	None
11	2019-10-08 13:05:07.12	RN	" I'm also ready. <beep>"	None	None
12	2019-10-08 13:05:07.12	DM->CMD	"I'm also ready. <beep>"	None	None
13	2019-10-08 13:04:49.48	CMD	"great nice to meet you"	None	None
14	2019-10-08 13:04:49.48	CMD	"what's your name robot"	None	None
15	2019-10-08 13:05:13.37	DM->RN	" move to the end of the hallway"	None	None
16	2019-10-08 13:05:13.38	DM->CMD	"I will try to move to the end of the hallway."	None	None
17	2019-10-08 13:05:17.88	RN	" moving. . ."	None	None
18	2019-10-08 13:05:17.97	DM->CMD	"moving. . ."	None	None
19	2019-10-08 13:04:57.13	CMD	"sounds good"	None	None
20	2019-10-08 13:05:20.09	DM->CMD	"Can you repeat that? <beep>"	None	None
21	2019-10-08 13:05:03.46	CMD	"slow down robot"	None	None
22	2019-10-08 13:05:26.36	DM->CMD	"Can you repeat that? <beep>"	None	None
23	2019-10-08 13:05:06.77	CMD	"slow down"	None	None
24	2019-10-08 13:05:29.58	DM->CMD	"Can you repeat that? <beep>"	None	None
25	2019-10-08 13:05:16.81	CMD	"do you see any doorways"	None	None
26	2019-10-08 13:05:40.51	DM->RN	" send image"	None	None
27	2019-10-08 13:05:40.52	DM->CMD	"I will send image."	None	None
28	2019-10-08 13:05:47.48	RN	" done"	None	None
29	2019-10-08 13:05:47.49	DM->CMD	"done"	None	None
30	2019-10-08 13:05:25.53	CMD	"slow down there's a dead end"	None	None
31	2019-10-08 13:05:49.07	DM->CMD	"Can you repeat that? <beep>"	None	None
i000	2019-10-08 13:05:12.18	IMAGE	"frame000"	None	None
32	2019-10-08 13:05:49.81	RN	" sent"	None	None
33	2019-10-08 13:05:49.92	DM->CMD	"sent"	None	None
34	2019-10-08 13:05:40.33	CMD	"what's in this picture"	None	None
35	2019-10-08 13:06:03.94	DM->CMD	"Would you like me to move to take a good picture? <beep>"	None	None
